Population_bin,National_PWS_Count,Estimated_EPs_to_Treat_4ng,Estimated_EPs_to_Treat_8ng,Estimated_EPs_to_Treat_12ng,Estimated_EPs_to_Treat_20ng,Estimated_EPs_to_Treat_40ng
25 - 100,11385,2973.0,850.0,425.0,425.0,425.0
101 - 500,15098,2305.0,801.0,400.0,101.0,101.0
"501 - 1,000",5336,1723.0,878.0,595.0,250.0,47.0
"1,001 - 3,300",7972,2174.0,1193.0,667.0,310.0,94.0
"3,301 - 10,000",5000,1582.0,747.0,380.0,154.0,27.0
"10,001 - 50,000",3513,1084.0,516.0,305.0,147.0,26.0
"50,001 - 100,000",583,138.0,63.0,39.0,12.0,4.0
"100,001 - 1,000,000",455,189.0,71.0,65.0,18.0,0.0
"> 1,000,000",27,0.0,0.0,0.0,0.0,0.0
