PWSID,PFOA,PFOS,exceeds_threshold(0.004*0.8),POPULATION_SERVED_COUNT,population_bin
AK2110342,0.0,0.0,False,38526.0,"10,001 - 50,000"
AK2110601,0.0,0.0,False,10947.0,"10,001 - 50,000"
AK2120232,0.0,0.0,False,8937.0,"3,301 - 10,000"
AK2130075,0.0,0.0,False,9448.0,"3,301 - 10,000"
AK2210605,0.0,0.0,False,794.0,"501 - 1,000"
AK2210906,0.0091,0.0,True,221351.0,"100,001 - 1,000,000"
AK2211423,0.0,0.0,False,19047.0,"10,001 - 50,000"
AK2212039,0.0,0.0,False,20284.0,"10,001 - 50,000"
AK2218653,0.0,0.0,False,60.0,25 to 100
AK2224646,0.0,0.0,False,18492.0,"10,001 - 50,000"
AK2226020,0.0,0.0,False,8111.0,"3,301 - 10,000"
AK2240448,0.0,0.0,False,5700.0,"3,301 - 10,000"
AK2240456,0.0,0.0,False,7008.0,"3,301 - 10,000"
AK2240757,0.0,0.0,False,3324.0,"3,301 - 10,000"
AK2241054,0.0,0.0,False,4807.0,"3,301 - 10,000"
AK2250011,0.0,0.0,False,9547.0,"3,301 - 10,000"
AK2260309,0.0,0.0,False,9400.0,"3,301 - 10,000"
AK2293205,0.0,0.0,False,2700.0,"1,001 - 3,300"
AK2298103,0.0,0.0,False,4500.0,"3,301 - 10,000"
AK2310675,0.0,0.0,False,4005.0,"3,301 - 10,000"
AK2310683,0.0,0.0,False,6200.0,"3,301 - 10,000"
AK2310730,0.0054,0.0,True,78324.0,"50,001 - 100,000"
AK2310900,0.0064,0.0,True,27000.0,"10,001 - 50,000"
AK2310918,0.0,0.0,False,20076.0,"10,001 - 50,000"
AK2320078,0.0,0.0463,True,4900.0,"3,301 - 10,000"
AK2370625,0.0,0.0,False,9760.0,"3,301 - 10,000"
AK2370798,0.0,0.0,False,60.0,25 to 100
AK2390594,0.0,0.0,False,4741.0,"3,301 - 10,000"
AL0000001,0.0,0.0,False,7710.0,"3,301 - 10,000"
AL0000013,0.0161,0.0202,True,8670.0,"3,301 - 10,000"
AL0000017,0.0192,0.0228,True,45444.0,"10,001 - 50,000"
AL0000023,0.0,0.011,True,28713.0,"10,001 - 50,000"
AL0000025,0.0045,0.0042,True,17268.0,"10,001 - 50,000"
AL0000029,0.0,0.0,False,33372.0,"10,001 - 50,000"
AL0000035,0.0051,0.013,True,59484.0,"50,001 - 100,000"
AL0000036,0.0,0.0,False,50919.0,"50,001 - 100,000"
AL0000048,0.0,0.0,False,10104.0,"10,001 - 50,000"
AL0000053,0.0,0.0,False,17796.0,"10,001 - 50,000"
AL0000061,0.0,0.0,False,13242.0,"10,001 - 50,000"
AL0000068,0.0,0.0,False,10161.0,"10,001 - 50,000"
AL0000076,0.0,0.0,False,6852.0,"3,301 - 10,000"
AL0000079,0.0,0.0,False,7056.0,"3,301 - 10,000"
AL0000083,0.0,0.0,False,2832.0,"1,001 - 3,300"
AL0000085,0.0,0.0,False,17970.0,"10,001 - 50,000"
AL0000089,0.0,0.0,False,660.0,"501 - 1,000"
AL0000091,0.0,0.0,False,6750.0,"3,301 - 10,000"
AL0000092,0.0,0.0,False,5985.0,"3,301 - 10,000"
AL0000093,0.0,0.0,False,8631.0,"3,301 - 10,000"
AL0000097,0.0,0.0,False,4629.0,"3,301 - 10,000"
AL0000100,0.0,0.0,False,4266.0,"3,301 - 10,000"
AL0000101,0.0,0.0,False,3516.0,"3,301 - 10,000"
AL0000103,0.0,0.0,False,19971.0,"10,001 - 50,000"
AL0000104,0.0,0.0,False,6255.0,"3,301 - 10,000"
AL0000108,0.0,0.0,False,6111.0,"3,301 - 10,000"
AL0000117,0.0,0.0,False,8601.0,"3,301 - 10,000"
AL0000118,0.0,0.0,False,3945.0,"3,301 - 10,000"
AL0000125,0.0,0.0,False,9336.0,"3,301 - 10,000"
AL0000131,0.0,0.0,False,32796.0,"10,001 - 50,000"
AL0000133,0.0,0.0,False,56646.0,"50,001 - 100,000"
AL0000154,0.0,0.0,False,14217.0,"10,001 - 50,000"
AL0000162,0.0,0.0061,True,29556.0,"10,001 - 50,000"
AL0000164,0.0,0.0,False,8073.0,"3,301 - 10,000"
AL0000168,0.0048,0.0137,True,6591.0,"3,301 - 10,000"
AL0000174,0.0,0.0,False,17532.0,"10,001 - 50,000"
AL0000177,0.0,0.0042,True,6795.0,"3,301 - 10,000"
AL0000178,0.0,0.0,False,4047.0,"3,301 - 10,000"
AL0000179,0.0,0.0,False,7152.0,"3,301 - 10,000"
AL0000180,0.0088,0.0062,True,10389.0,"10,001 - 50,000"
AL0000187,0.0,0.0,False,4875.0,"3,301 - 10,000"
AL0000188,0.0,0.0,False,7050.0,"3,301 - 10,000"
AL0000189,0.0,0.0,False,11013.0,"10,001 - 50,000"
AL0000213,0.02,0.018,True,13500.0,"10,001 - 50,000"
AL0000219,0.0,0.0,False,4365.0,"3,301 - 10,000"
AL0000229,0.0,0.0,False,3579.0,"3,301 - 10,000"
AL0000232,0.0,0.0,False,4590.0,"3,301 - 10,000"
AL0000234,0.0,0.0,False,27681.0,"10,001 - 50,000"
AL0000237,0.0,0.0,False,8157.0,"3,301 - 10,000"
AL0000243,0.0,0.0,False,3450.0,"3,301 - 10,000"
AL0000255,0.005,0.019,True,5280.0,"3,301 - 10,000"
AL0000256,0.0,0.0047,True,11715.0,"10,001 - 50,000"
AL0000257,0.0,0.0,False,5145.0,"3,301 - 10,000"
AL0000262,0.0089,0.014,True,6897.0,"3,301 - 10,000"
AL0000264,0.0,0.0,False,2925.0,"1,001 - 3,300"
AL0000279,0.0,0.0,False,4287.0,"3,301 - 10,000"
AL0000295,0.0,0.0,False,5361.0,"3,301 - 10,000"
AL0000296,0.0,0.0,False,48000.0,"10,001 - 50,000"
AL0000314,0.0198,0.0295,True,13395.0,"10,001 - 50,000"
AL0000316,0.0043,0.0078,True,4035.0,"3,301 - 10,000"
AL0000320,0.0071,0.017,True,3570.0,"3,301 - 10,000"
AL0000321,0.0096,0.0168,True,22467.0,"10,001 - 50,000"
AL0000327,0.013,0.02,True,13758.0,"10,001 - 50,000"
AL0000329,0.011,0.019,True,5487.0,"3,301 - 10,000"
AL0000331,0.005,0.0063,True,14400.0,"10,001 - 50,000"
AL0000338,0.0,0.0,False,4950.0,"3,301 - 10,000"
AL0000354,0.0,0.0,False,5067.0,"3,301 - 10,000"
AL0000356,0.0,0.0,False,15252.0,"10,001 - 50,000"
AL0000361,0.0,0.0,False,13224.0,"10,001 - 50,000"
AL0000375,0.0,0.0,False,10266.0,"10,001 - 50,000"
AL0000393,0.0,0.0,False,3300.0,"1,001 - 3,300"
AL0000394,0.0,0.0,False,55974.0,"50,001 - 100,000"
AL0000397,0.0,0.0,False,5760.0,"3,301 - 10,000"
AL0000402,0.0,0.0,False,13038.0,"10,001 - 50,000"
AL0000406,0.0,0.0,False,6042.0,"3,301 - 10,000"
AL0000409,0.0,0.0,False,5121.0,"3,301 - 10,000"
AL0000413,0.0,0.0,False,17103.0,"10,001 - 50,000"
AL0000420,0.0,0.0,False,10014.0,"10,001 - 50,000"
AL0000436,0.0,0.0,False,3819.0,"3,301 - 10,000"
AL0000441,0.0,0.0,False,19965.0,"10,001 - 50,000"
AL0000463,0.0,0.0,False,4152.0,"3,301 - 10,000"
AL0000482,0.0,0.0,False,8838.0,"3,301 - 10,000"
AL0000490,0.0,0.0,False,21834.0,"10,001 - 50,000"
AL0000491,0.0,0.0,False,3747.0,"3,301 - 10,000"
AL0000500,0.0,0.0,False,3504.0,"3,301 - 10,000"
AL0000506,0.0525,0.0066,True,3885.0,"3,301 - 10,000"
AL0000509,0.0,0.0,False,25107.0,"10,001 - 50,000"
AL0000533,0.0,0.005,True,5094.0,"3,301 - 10,000"
AL0000535,0.0,0.0,False,13680.0,"10,001 - 50,000"
AL0000537,0.0,0.0045,True,4425.0,"3,301 - 10,000"
AL0000539,0.0138,0.0124,True,5181.0,"3,301 - 10,000"
AL0000540,0.017,0.018,True,12600.0,"10,001 - 50,000"
AL0000547,0.0,0.0,False,39798.0,"10,001 - 50,000"
AL0000548,0.0,0.0049,True,7512.0,"3,301 - 10,000"
AL0000549,0.016,0.012,True,11832.0,"10,001 - 50,000"
AL0000551,0.019,0.029,True,10023.0,"10,001 - 50,000"
AL0000553,0.0,0.0,False,12060.0,"10,001 - 50,000"
AL0000555,0.0,0.0,False,11430.0,"10,001 - 50,000"
AL0000561,0.0,0.0,False,3414.0,"3,301 - 10,000"
AL0000570,0.0,0.0,False,903.0,"501 - 1,000"
AL0000572,0.0,0.0,False,8403.0,"3,301 - 10,000"
AL0000575,0.0,0.0,False,5616.0,"3,301 - 10,000"
AL0000577,0.032,0.0324,True,44637.0,"10,001 - 50,000"
AL0000578,0.0,0.0,False,6465.0,"3,301 - 10,000"
AL0000580,0.0267,0.0278,True,3963.0,"3,301 - 10,000"
AL0000581,0.0,0.0,False,5536.0,"3,301 - 10,000"
AL0000582,0.017,0.021,True,6765.0,"3,301 - 10,000"
AL0000583,0.0,0.0,False,1074.0,"1,001 - 3,300"
AL0000587,0.027,0.02,True,4275.0,"3,301 - 10,000"
AL0000588,0.0,0.0,False,12363.0,"10,001 - 50,000"
AL0000591,0.014,0.0081,True,12000.0,"10,001 - 50,000"
AL0000594,0.0,0.0,False,4386.0,"3,301 - 10,000"
AL0000596,0.0,0.0,False,4887.0,"3,301 - 10,000"
AL0000597,0.0,0.0,False,8142.0,"3,301 - 10,000"
AL0000606,0.0,0.0,False,7341.0,"3,301 - 10,000"
AL0000607,0.0,0.0,False,6048.0,"3,301 - 10,000"
AL0000610,0.0,0.0,False,16650.0,"10,001 - 50,000"
AL0000624,0.0,0.0,False,4323.0,"3,301 - 10,000"
AL0000628,0.0,0.0,False,4125.0,"3,301 - 10,000"
AL0000629,0.0,0.0,False,3660.0,"3,301 - 10,000"
AL0000636,0.0,0.0,False,4764.0,"3,301 - 10,000"
AL0000643,0.0,0.0,False,4062.0,"3,301 - 10,000"
AL0000645,0.0,0.0,False,4500.0,"3,301 - 10,000"
AL0000651,0.0,0.0,False,4404.0,"3,301 - 10,000"
AL0000657,0.0,0.0,False,3933.0,"3,301 - 10,000"
AL0000663,0.0,0.0,False,11625.0,"10,001 - 50,000"
AL0000664,0.0,0.0,False,6003.0,"3,301 - 10,000"
AL0000671,0.0,0.0,False,3816.0,"3,301 - 10,000"
AL0000677,0.0,0.0,False,3570.0,"3,301 - 10,000"
AL0000681,0.0,0.0,False,97146.0,"50,001 - 100,000"
AL0000702,0.0,0.0,False,9339.0,"3,301 - 10,000"
AL0000713,0.0,0.0,False,5505.0,"3,301 - 10,000"
AL0000717,0.0,0.0,False,5880.0,"3,301 - 10,000"
AL0000728,0.0,0.0,False,35259.0,"10,001 - 50,000"
AL0000729,0.0,0.0,False,22200.0,"10,001 - 50,000"
AL0000732,0.004,0.0055,True,4101.0,"3,301 - 10,000"
AL0000737,0.0,0.0059,True,86091.0,"50,001 - 100,000"
AL0000738,0.0,0.0,False,585000.0,"100,001 - 1,000,000"
AL0000748,0.0,0.0,False,9180.0,"3,301 - 10,000"
AL0000751,0.0051,0.0594,True,10098.0,"10,001 - 50,000"
AL0000755,0.0,0.0,False,6117.0,"3,301 - 10,000"
AL0000761,0.0,0.0,False,36300.0,"10,001 - 50,000"
AL0000763,0.0042,0.0057,True,37263.0,"10,001 - 50,000"
AL0000773,0.0,0.0,False,9801.0,"3,301 - 10,000"
AL0000777,0.0052,0.0096,True,4881.0,"3,301 - 10,000"
AL0000783,0.0097,0.017,True,77766.0,"50,001 - 100,000"
AL0000794,0.013,0.017,True,15681.0,"10,001 - 50,000"
AL0000798,0.0,0.0,False,9216.0,"3,301 - 10,000"
AL0000801,0.0,0.0,False,15735.0,"10,001 - 50,000"
AL0000804,0.012,0.0,True,65313.0,"50,001 - 100,000"
AL0000814,0.016,0.0,True,13503.0,"10,001 - 50,000"
AL0000816,0.011,0.0064,True,45621.0,"10,001 - 50,000"
AL0000820,0.0059,0.0063,True,31695.0,"10,001 - 50,000"
AL0000824,0.0,0.0,False,40596.0,"10,001 - 50,000"
AL0000833,0.0087,0.0111,True,65003.0,"50,001 - 100,000"
AL0000867,0.0048,0.0,True,6951.0,"3,301 - 10,000"
AL0000870,0.0,0.0,False,12900.0,"10,001 - 50,000"
AL0000878,0.0048,0.0043,True,51915.0,"50,001 - 100,000"
AL0000882,0.0047,0.009,True,262158.0,"100,001 - 1,000,000"
AL0000885,0.0,0.0,False,54114.0,"50,001 - 100,000"
AL0000888,0.0,0.0049,True,97803.0,"50,001 - 100,000"
AL0000893,0.0,0.0,False,6024.0,"3,301 - 10,000"
AL0000897,0.0,0.0,False,11532.0,"10,001 - 50,000"
AL0000899,0.0,0.0,False,44472.0,"10,001 - 50,000"
AL0000905,0.0,0.0,False,6213.0,"3,301 - 10,000"
AL0000908,0.0,0.0,False,10530.0,"10,001 - 50,000"
AL0000914,0.0,0.0,False,5103.0,"3,301 - 10,000"
AL0000924,0.0,0.0,False,4350.0,"3,301 - 10,000"
AL0000926,0.0,0.0,False,10500.0,"10,001 - 50,000"
AL0000930,0.0,0.0,False,8631.0,"3,301 - 10,000"
AL0000933,0.011,0.0048,True,29367.0,"10,001 - 50,000"
AL0000934,0.0,0.0,False,34800.0,"10,001 - 50,000"
AL0000935,0.0091,0.0058,True,3906.0,"3,301 - 10,000"
AL0000936,0.01,0.0046,True,15000.0,"10,001 - 50,000"
AL0000940,0.0,0.0,False,16632.0,"10,001 - 50,000"
AL0000943,0.0068,0.0048,True,13374.0,"10,001 - 50,000"
AL0000945,0.0,0.0,False,15300.0,"10,001 - 50,000"
AL0000947,0.0056,0.0,True,5328.0,"3,301 - 10,000"
AL0000957,0.0,0.0,False,8100.0,"3,301 - 10,000"
AL0000967,0.0,0.0,False,39249.0,"10,001 - 50,000"
AL0000971,0.0,0.0,False,5802.0,"3,301 - 10,000"
AL0000983,0.0314,0.0269,True,11100.0,"10,001 - 50,000"
AL0000993,0.0,0.0,False,6294.0,"3,301 - 10,000"
AL0000994,0.0,0.0,False,3825.0,"3,301 - 10,000"
AL0001002,0.0,0.0,False,39573.0,"10,001 - 50,000"
AL0001005,0.0,0.0,False,279000.0,"100,001 - 1,000,000"
AL0001015,0.0,0.0,False,29253.0,"10,001 - 50,000"
AL0001021,0.0045,0.012,True,13827.0,"10,001 - 50,000"
AL0001022,0.0,0.0,False,7248.0,"3,301 - 10,000"
AL0001031,0.0,0.0,False,10284.0,"10,001 - 50,000"
AL0001046,0.0,0.0,False,3600.0,"3,301 - 10,000"
AL0001052,0.0,0.0,False,9885.0,"3,301 - 10,000"
AL0001056,0.0,0.0,False,3420.0,"3,301 - 10,000"
AL0001070,0.0,0.0,False,238536.0,"100,001 - 1,000,000"
AL0001073,0.0,0.0,False,5343.0,"3,301 - 10,000"
AL0001084,0.0,0.0,False,77103.0,"50,001 - 100,000"
AL0001086,0.0,0.0,False,22233.0,"10,001 - 50,000"
AL0001088,0.0,0.0,False,25854.0,"10,001 - 50,000"
AL0001092,0.0,0.0,False,30000.0,"10,001 - 50,000"
AL0001097,0.0,0.0,False,4188.0,"3,301 - 10,000"
AL0001102,0.0,0.0,False,5655.0,"3,301 - 10,000"
AL0001105,0.0,0.0,False,3630.0,"3,301 - 10,000"
AL0001106,0.0,0.0,False,14364.0,"10,001 - 50,000"
AL0001110,0.0,0.0,False,3672.0,"3,301 - 10,000"
AL0001120,0.0,0.0,False,12021.0,"10,001 - 50,000"
AL0001124,0.0,0.0,False,21864.0,"10,001 - 50,000"
AL0001127,0.0,0.0,False,7575.0,"3,301 - 10,000"
AL0001131,0.0,0.0,False,7782.0,"3,301 - 10,000"
AL0001137,0.0,0.0,False,13509.0,"10,001 - 50,000"
AL0001142,0.0075,0.0068,True,42267.0,"10,001 - 50,000"
AL0001145,0.0058,0.0056,True,16923.0,"10,001 - 50,000"
AL0001148,0.021,0.019,True,41061.0,"10,001 - 50,000"
AL0001149,0.0,0.0,False,4398.0,"3,301 - 10,000"
AL0001150,0.0,0.0,False,26982.0,"10,001 - 50,000"
AL0001151,0.0,0.0,False,11664.0,"10,001 - 50,000"
AL0001157,0.0,0.0,False,21300.0,"10,001 - 50,000"
AL0001160,0.0,0.0167,True,9741.0,"3,301 - 10,000"
AL0001163,0.0116,0.0056,True,38703.0,"10,001 - 50,000"
AL0001164,0.021,0.031,True,3153.0,"1,001 - 3,300"
AL0001176,0.0,0.0,False,4107.0,"3,301 - 10,000"
AL0001199,0.0,0.0,False,6336.0,"3,301 - 10,000"
AL0001203,0.0049,0.0,True,26022.0,"10,001 - 50,000"
AL0001204,0.015,0.0055,True,17586.0,"10,001 - 50,000"
AL0001209,0.0,0.0,False,3864.0,"3,301 - 10,000"
AL0001211,0.0,0.0,False,6468.0,"3,301 - 10,000"
AL0001216,0.0,0.0,False,5097.0,"3,301 - 10,000"
AL0001220,0.0,0.0,False,4680.0,"3,301 - 10,000"
AL0001222,0.0,0.0,False,10983.0,"10,001 - 50,000"
AL0001223,0.0,0.0,False,3435.0,"3,301 - 10,000"
AL0001228,0.0,0.0151,True,9744.0,"3,301 - 10,000"
AL0001236,0.0,0.0,False,5865.0,"3,301 - 10,000"
AL0001245,0.0,0.0,False,13923.0,"10,001 - 50,000"
AL0001258,0.0,0.0,False,24087.0,"10,001 - 50,000"
AL0001260,0.0,0.0049,True,20250.0,"10,001 - 50,000"
AL0001265,0.0,0.0,False,29565.0,"10,001 - 50,000"
AL0001273,0.0,0.0,False,4020.0,"3,301 - 10,000"
AL0001279,0.0,0.0,False,6813.0,"3,301 - 10,000"
AL0001288,0.0,0.0,False,5868.0,"3,301 - 10,000"
AL0001289,0.0,0.0,False,13092.0,"10,001 - 50,000"
AL0001290,0.0,0.0,False,3648.0,"3,301 - 10,000"
AL0001293,0.0,0.0,False,13755.0,"10,001 - 50,000"
AL0001298,0.0,0.0,False,3747.0,"3,301 - 10,000"
AL0001301,0.0,0.0,False,7604.0,"3,301 - 10,000"
AL0001302,0.0,0.0,False,6015.0,"3,301 - 10,000"
AL0001306,0.0,0.0,False,8730.0,"3,301 - 10,000"
AL0001307,0.0,0.0,False,40551.0,"10,001 - 50,000"
AL0001313,0.0,0.0,False,166524.0,"100,001 - 1,000,000"
AL0001322,0.0,0.0,False,4764.0,"3,301 - 10,000"
AL0001326,0.0,0.0,False,3867.0,"3,301 - 10,000"
AL0001336,0.0,0.0,False,28638.0,"10,001 - 50,000"
AL0001343,0.0,0.0,False,3576.0,"3,301 - 10,000"
AL0001344,0.0,0.0,False,5679.0,"3,301 - 10,000"
AL0001351,0.0,0.0,False,5994.0,"3,301 - 10,000"
AL0001363,0.0,0.0,False,3060.0,"1,001 - 3,300"
AL0001368,0.0,0.0,False,1467.0,"1,001 - 3,300"
AL0001371,0.0104,0.011,True,6144.0,"3,301 - 10,000"
AL0001374,0.0,0.0,False,4170.0,"3,301 - 10,000"
AL0001393,0.006,0.0079,True,2361.0,"1,001 - 3,300"
AL0001402,0.0,0.0,False,2622.0,"1,001 - 3,300"
AL0001403,0.0,0.0,False,8673.0,"3,301 - 10,000"
AL0001410,0.0,0.0,False,6075.0,"3,301 - 10,000"
AL0001411,0.0,0.0,False,11865.0,"10,001 - 50,000"
AL0001420,0.0059,0.0129,True,3903.0,"3,301 - 10,000"
AL0001422,0.0119,0.0056,True,47070.0,"10,001 - 50,000"
AL0001423,0.0102,0.0164,True,8214.0,"3,301 - 10,000"
AL0001424,0.0,0.0,False,10296.0,"10,001 - 50,000"
AL0001426,0.0,0.0,False,5196.0,"3,301 - 10,000"
AL0001432,0.0,0.0,False,18060.0,"10,001 - 50,000"
AL0001434,0.004,0.0,True,4569.0,"3,301 - 10,000"
AL0001437,0.0,0.0,False,6843.0,"3,301 - 10,000"
AL0001439,0.0092,0.015,True,4416.0,"3,301 - 10,000"
AL0001489,0.0,0.0,False,16774.0,"10,001 - 50,000"
AL0001490,0.0,0.0,False,10824.0,"10,001 - 50,000"
AL0001500,0.0,0.0,False,4932.0,"3,301 - 10,000"
AL0001506,0.0,0.0,False,4095.0,"3,301 - 10,000"
AL0001507,0.0,0.0,False,14052.0,"10,001 - 50,000"
AL0001508,0.0,0.0,False,8358.0,"3,301 - 10,000"
AL0001509,0.0,0.0,False,9540.0,"3,301 - 10,000"
AL0001510,0.0,0.0,False,5991.0,"3,301 - 10,000"
AL0001512,0.0,0.0,False,3675.0,"3,301 - 10,000"
AL0001537,0.0,0.0,False,10290.0,"10,001 - 50,000"
AL0001540,0.0,0.0,False,16248.0,"10,001 - 50,000"
AL0001671,0.0261,0.0277,True,40101.0,"10,001 - 50,000"
AL0001716,0.0,0.0,False,3660.0,"3,301 - 10,000"
AL0001721,0.0,0.0,False,4083.0,"3,301 - 10,000"
AL0001739,0.0,0.0,False,3600.0,"3,301 - 10,000"
AL0001748,0.0,0.0,False,7800.0,"3,301 - 10,000"
AL0001750,0.0,0.0,False,5106.0,"3,301 - 10,000"
AL0001755,0.0,0.0,False,4902.0,"3,301 - 10,000"
AL0001761,0.0,0.0,False,8307.0,"3,301 - 10,000"
AL0001770,0.0,0.0,False,5496.0,"3,301 - 10,000"
AL0001786,0.0,0.0,False,35496.0,"10,001 - 50,000"
AL0001796,0.0,0.0,False,15531.0,"10,001 - 50,000"
AR0000004,0.0,0.0,False,9986.0,"3,301 - 10,000"
AR0000013,0.0,0.0,False,7393.0,"3,301 - 10,000"
AR0000015,0.0,0.0,False,5600.0,"3,301 - 10,000"
AR0000017,0.0,0.0,False,7900.0,"3,301 - 10,000"
AR0000025,0.0,0.0,False,19618.0,"10,001 - 50,000"
AR0000027,0.0,0.0,False,3975.0,"3,301 - 10,000"
AR0000033,0.0,0.0,False,4690.0,"3,301 - 10,000"
AR0000036,0.0,0.0,False,715.0,"501 - 1,000"
AR0000037,0.0,0.0,False,6243.0,"3,301 - 10,000"
AR0000039,0.0,0.0,False,39419.0,"10,001 - 50,000"
AR0000041,0.0,0.0,False,51250.0,"50,001 - 100,000"
AR0000043,0.0,0.0,False,5283.0,"3,301 - 10,000"
AR0000044,0.0,0.0,False,27123.0,"10,001 - 50,000"
AR0000048,0.0,0.0,False,8708.0,"3,301 - 10,000"
AR0000051,0.0,0.0,False,4708.0,"3,301 - 10,000"
AR0000052,0.0,0.0,False,2468.0,"1,001 - 3,300"
AR0000053,0.0,0.0,False,10820.0,"10,001 - 50,000"
AR0000055,0.0,0.0,False,70878.0,"50,001 - 100,000"
AR0000056,0.0,0.0,False,21430.0,"10,001 - 50,000"
AR0000062,0.0,0.0,False,17455.0,"10,001 - 50,000"
AR0000066,0.0,0.0,False,6001.0,"3,301 - 10,000"
AR0000074,0.0,0.0,False,6813.0,"3,301 - 10,000"
AR0000075,0.0,0.0,False,4053.0,"3,301 - 10,000"
AR0000077,0.0,0.0,False,6265.0,"3,301 - 10,000"
AR0000078,0.0,0.0,False,4540.0,"3,301 - 10,000"
AR0000085,0.0,0.0,False,11855.0,"10,001 - 50,000"
AR0000090,0.0,0.0,False,4620.0,"3,301 - 10,000"
AR0000096,0.0,0.0,False,3388.0,"3,301 - 10,000"
AR0000101,0.0,0.0,False,18628.0,"10,001 - 50,000"
AR0000104,0.0,0.0,False,14015.0,"10,001 - 50,000"
AR0000107,0.0,0.0,False,7187.0,"3,301 - 10,000"
AR0000109,0.0,0.0,False,11657.0,"10,001 - 50,000"
AR0000119,0.0,0.0,False,17858.0,"10,001 - 50,000"
AR0000124,0.0,0.0,False,79889.0,"50,001 - 100,000"
AR0000138,0.0,0.0,False,8529.0,"3,301 - 10,000"
AR0000142,0.0,0.0,False,22725.0,"10,001 - 50,000"
AR0000144,0.0,0.0,False,6123.0,"3,301 - 10,000"
AR0000145,0.0,0.0,False,6250.0,"3,301 - 10,000"
AR0000152,0.0,0.0,False,13032.0,"10,001 - 50,000"
AR0000156,0.0,0.0,False,24419.0,"10,001 - 50,000"
AR0000163,0.0,0.0,False,8391.0,"3,301 - 10,000"
AR0000164,0.0,0.0,False,3191.0,"1,001 - 3,300"
AR0000170,0.0,0.0,False,3849.0,"3,301 - 10,000"
AR0000171,0.0,0.0,False,6338.0,"3,301 - 10,000"
AR0000180,0.0,0.0,False,3873.0,"3,301 - 10,000"
AR0000184,0.0,0.0,False,8442.0,"3,301 - 10,000"
AR0000185,0.0,0.0,False,12173.0,"10,001 - 50,000"
AR0000189,0.0,0.0,False,64008.0,"50,001 - 100,000"
AR0000191,0.0,0.0,False,12938.0,"10,001 - 50,000"
AR0000192,0.0,0.0,False,2438.0,"1,001 - 3,300"
AR0000193,0.0,0.0,False,7390.0,"3,301 - 10,000"
AR0000195,0.0,0.0,False,24690.0,"10,001 - 50,000"
AR0000196,0.0,0.0,False,5000.0,"3,301 - 10,000"
AR0000201,0.0,0.0,False,4368.0,"3,301 - 10,000"
AR0000208,0.0,0.0,False,15985.0,"10,001 - 50,000"
AR0000209,0.0,0.0,False,75343.0,"50,001 - 100,000"
AR0000213,0.0,0.0,False,3858.0,"3,301 - 10,000"
AR0000214,0.0,0.0,False,2561.0,"1,001 - 3,300"
AR0000219,0.0,0.0,False,3887.0,"3,301 - 10,000"
AR0000222,0.0,0.0,False,31188.0,"10,001 - 50,000"
AR0000230,0.0,0.0,False,11500.0,"10,001 - 50,000"
AR0000232,0.0,0.0,False,142.0,101 - 500
AR0000236,0.0,0.0,False,3528.0,"3,301 - 10,000"
AR0000237,0.0,0.0,False,9690.0,"3,301 - 10,000"
AR0000244,0.0,0.0,False,4153.0,"3,301 - 10,000"
AR0000250,0.0,0.0,False,10177.0,"10,001 - 50,000"
AR0000254,0.0,0.0,False,9108.0,"3,301 - 10,000"
AR0000264,0.0,0.0,False,6204.0,"3,301 - 10,000"
AR0000266,0.0,0.0,False,1817.0,"1,001 - 3,300"
AR0000272,0.0,0.0,False,43438.0,"10,001 - 50,000"
AR0000273,0.0,0.0,False,4600.0,"3,301 - 10,000"
AR0000284,0.0,0.0,False,5590.0,"3,301 - 10,000"
AR0000286,0.0,0.0,False,1230.0,"1,001 - 3,300"
AR0000289,0.0,0.0,False,9410.0,"3,301 - 10,000"
AR0000309,0.0,0.0,False,5823.0,"3,301 - 10,000"
AR0000310,0.0,0.0,False,3238.0,"1,001 - 3,300"
AR0000313,0.0,0.0,False,3770.0,"3,301 - 10,000"
AR0000315,0.0,0.0,False,3800.0,"3,301 - 10,000"
AR0000319,0.0,0.0,False,7364.0,"3,301 - 10,000"
AR0000320,0.0,0.0,False,4261.0,"3,301 - 10,000"
AR0000326,0.0,0.0,False,4803.0,"3,301 - 10,000"
AR0000328,0.0,0.0,False,4935.0,"3,301 - 10,000"
AR0000338,0.0,0.0,False,26770.0,"10,001 - 50,000"
AR0000345,0.0,0.0,False,12579.0,"10,001 - 50,000"
AR0000349,0.0,0.0,False,11435.0,"10,001 - 50,000"
AR0000351,0.0,0.0,False,3870.0,"3,301 - 10,000"
AR0000360,0.0,0.0,False,29233.0,"10,001 - 50,000"
AR0000365,0.0,0.0,False,12981.0,"10,001 - 50,000"
AR0000378,0.0,0.0,False,4165.0,"3,301 - 10,000"
AR0000384,0.0,0.0,False,2992.0,"1,001 - 3,300"
AR0000394,0.0,0.0,False,4500.0,"3,301 - 10,000"
AR0000404,0.0,0.0,False,13275.0,"10,001 - 50,000"
AR0000416,0.0,0.0,False,5693.0,"3,301 - 10,000"
AR0000419,0.0,0.0,False,3672.0,"3,301 - 10,000"
AR0000421,0.0,0.0,False,1059.0,"1,001 - 3,300"
AR0000431,0.0,0.0,False,2824.0,"1,001 - 3,300"
AR0000435,0.0,0.0,False,9134.0,"3,301 - 10,000"
AR0000438,0.0,0.0,False,5604.0,"3,301 - 10,000"
AR0000441,0.0,0.0,False,4439.0,"3,301 - 10,000"
